gene,log2FC,pvalue,padj
ENSSSCG00000007805,0.2021190870361929,0.004998124765082452,1.0
ENSSSCG00000017214,0.779596298767927,0.005074868097940253,1.0
ENSSSCG00000051325,-0.7134362244462227,0.005074868097940253,1.0
ENSSSCG00000011249,0.34992240024708066,0.005074868097940253,1.0
ENSSSCG00000012757,-0.3630054540907883,0.005074868097940253,1.0
ENSSSCG00000028677,0.42509628923414255,0.005074868097940253,1.0
ENSSSCG00000000576,-0.8206576243717532,0.005074868097940253,1.0
ENSSSCG00000049474,0.2629052714706991,0.005074868097940253,1.0
ENSSSCG00000009827,-0.42151764805641134,0.005074868097940253,1.0
ENSSSCG00000013855,-0.24782909601110603,0.005074868097940253,1.0
ENSSSCG00000008875,-0.835414917815301,0.005074868097940253,1.0
ENSSSCG00000051155,0.8012009784787202,0.005074868097940253,1.0
ENSSSCG00000002013,-1.097613957299906,0.005074868097940253,1.0
ENSSSCG00000047085,0.5034884683490262,0.005074868097940253,1.0
ENSSSCG00000051152,0.6257880219239831,0.005074868097940253,1.0
ENSSSCG00000038715,1.3306255449139388,0.005074868097940253,1.0
ENSSSCG00000003493,-0.30377648111970235,0.005074868097940253,1.0
ENSSSCG00000000190,-0.6272575896535235,0.005074868097940253,1.0
ENSSSCG00000005465,-0.4987180542035521,0.005074868097940253,1.0
ENSSSCG00000011286,0.28978888418401316,0.005074868097940253,1.0
ENSSSCG00000011390,0.2383977079475077,0.005074868097940253,1.0
ENSSSCG00000018229,0.2998550308755234,0.005074868097940253,1.0
ENSSSCG00000044986,1.2431968875571933,0.005074868097940253,1.0
ENSSSCG00000017495,0.8587769198283044,0.005074868097940253,1.0
ENSSSCG00000007336,-1.5622558003722622,0.005074868097940253,1.0
ENSSSCG00000010992,-1.0002538333955853,0.005074868097940253,1.0
ENSSSCG00000005916,0.9332310140308373,0.005074868097940253,1.0
ENSSSCG00000035956,-0.3939782955035618,0.005074868097940253,1.0
ENSSSCG00000011366,-0.5184282138133867,0.005074868097940253,1.0
ENSSSCG00000018056,0.8116452936284789,0.005074868097940253,1.0
ENSSSCG00000041954,0.6901069143722576,0.005074868097940253,1.0
ENSSSCG00000007516,0.18354226598145532,0.005074868097940253,1.0
ENSSSCG00000048910,-0.054756622982339354,0.005074868097940253,1.0
ENSSSCG00000016479,-0.15101418486344062,0.005074868097940253,1.0
ENSSSCG00000042259,0.571231889305593,0.005074868097940253,1.0
ENSSSCG00000032557,-1.2997860427598824,0.005074868097940253,1.0
ENSSSCG00000050565,0.5641529664798751,0.005074868097940253,1.0
ENSSSCG00000007568,0.46253943855904467,0.005074868097940253,1.0
ENSSSCG00000027992,0.3849446669741302,0.005074868097940253,1.0
ENSSSCG00000008020,0.7296693783358668,0.005074868097940253,1.0
ENSSSCG00000028139,0.3962979388052419,0.005074868097940253,1.0
ENSSSCG00000016437,1.2478026444616348,0.00823901882572464,1.0
ENSSSCG00000031948,0.9520391141648568,0.00823901882572464,1.0
ENSSSCG00000007940,0.7738392488149042,0.00823901882572464,1.0
ENSSSCG00000045750,0.2049228834435879,0.00823901882572464,1.0
ENSSSCG00000029719,0.23270178819391626,0.00823901882572464,1.0
ENSSSCG00000039345,0.19551065471400594,0.00823901882572464,1.0
ENSSSCG00000035448,0.5097687255771484,0.00823901882572464,1.0
ENSSSCG00000011451,0.6713563305147421,0.00823901882572464,1.0
ENSSSCG00000011450,0.6157343543548277,0.00823901882572464,1.0
ENSSSCG00000006685,0.36952349596963385,0.00823901882572464,1.0
ENSSSCG00000002366,-0.2563604664784691,0.00823901882572464,1.0
ENSSSCG00000006729,-0.485895057935255,0.00823901882572464,1.0
ENSSSCG00000031537,0.4769443656787171,0.00823901882572464,1.0
ENSSSCG00000030857,1.281778752283759,0.00823901882572464,1.0
ENSSSCG00000021702,0.7450890826971024,0.00823901882572464,1.0
ENSSSCG00000024341,0.9411433088362924,0.00823901882572464,1.0
ENSSSCG00000013911,0.3057554208102604,0.00823901882572464,1.0
ENSSSCG00000013784,-0.40624612008276006,0.00823901882572464,1.0
ENSSSCG00000014907,0.5602323842887795,0.00823901882572464,1.0
ENSSSCG00000039568,0.6474045981505274,0.00823901882572464,1.0
ENSSSCG00000041959,0.7606055324940437,0.00823901882572464,1.0
ENSSSCG00000002700,0.19280434721712236,0.00823901882572464,1.0
ENSSSCG00000033067,-0.5418739584427672,0.00823901882572464,1.0
ENSSSCG00000039661,0.32042515689231865,0.00823901882572464,1.0
ENSSSCG00000048923,0.45574835333001573,0.00823901882572464,1.0
ENSSSCG00000018513,0.36822862960802427,0.00823901882572464,1.0
ENSSSCG00000042312,0.5227063095897718,0.00823901882572464,1.0
ENSSSCG00000023792,1.1748091194576222,0.00823901882572464,1.0
ENSSSCG00000035280,0.3068997269238201,0.00823901882572464,1.0
ENSSSCG00000014277,-0.3849150336540319,0.00823901882572464,1.0
ENSSSCG00000032052,0.7258833884746887,0.00823901882572464,1.0
ENSSSCG00000010464,-0.9603609025071949,0.00823901882572464,1.0
ENSSSCG00000043636,-0.4936376959899506,0.00823901882572464,1.0
ENSSSCG00000035222,0.1422430125205144,0.00823901882572464,1.0
ENSSSCG00000026579,-0.1626343329642844,0.00823901882572464,1.0
ENSSSCG00000007695,0.11033888992499598,0.01243591724562818,1.0
ENSSSCG00000000997,0.17547845574600657,0.01243591724562818,1.0
ENSSSCG00000050861,0.19396060001817284,0.01243591724562818,1.0
ENSSSCG00000001776,0.12612435970756516,0.01243591724562818,1.0
ENSSSCG00000033363,0.13299709426047013,0.012906570419653424,1.0
ENSSSCG00000009278,0.16318419191784028,0.012906570419653424,1.0
ENSSSCG00000047981,0.2068913251591179,0.012906570419653424,1.0
ENSSSCG00000034873,0.4411554841930727,0.013065226764425961,1.0
ENSSSCG00000003492,0.6851585683537227,0.013065226764425961,1.0
ENSSSCG00000018197,0.18150679222590763,0.013065226764425961,1.0
ENSSSCG00000017792,0.8546636513149708,0.013065226764425961,1.0
ENSSSCG00000000382,0.4107433269097056,0.013065226764425961,1.0
ENSSSCG00000000999,0.5390012015898114,0.013065226764425961,1.0
ENSSSCG00000044015,-0.1333544371687454,0.013065226764425961,1.0
ENSSSCG00000014829,-0.15707862848985776,0.013065226764425961,1.0
ENSSSCG00000027711,-0.3939383229483826,0.013065226764425961,1.0
ENSSSCG00000040158,0.23676829273770994,0.013065226764425961,1.0
ENSSSCG00000038904,-0.3354082705365058,0.013065226764425961,1.0
ENSSSCG00000016340,0.7634430166165744,0.013065226764425961,1.0
ENSSSCG00000038486,0.5133765248585327,0.013065226764425961,1.0
ENSSSCG00000034782,-0.1416867564554085,0.013065226764425961,1.0
ENSSSCG00000028978,0.5094057304531558,0.013065226764425961,1.0
ENSSSCG00000009716,0.6370694260095502,0.013065226764425961,1.0
ENSSSCG00000035193,-0.34160253195665913,0.013065226764425961,1.0
ENSSSCG00000032527,0.8299321722362876,0.013065226764425961,1.0
ENSSSCG00000008684,0.20760021240723436,0.013065226764425961,1.0
ENSSSCG00000020680,1.2629160199426472,0.013065226764425961,1.0
ENSSSCG00000028672,0.31211879650318064,0.013065226764425961,1.0
ENSSSCG00000016378,0.3524293577794908,0.013065226764425961,1.0
ENSSSCG00000039930,0.8606287550140723,0.013065226764425961,1.0
ENSSSCG00000013584,0.3784294117844792,0.013065226764425961,1.0
ENSSSCG00000048402,0.1601372964354388,0.013065226764425961,1.0
ENSSSCG00000048696,1.1972748086061569,0.013065226764425961,1.0
ENSSSCG00000006493,0.7279508080619175,0.013065226764425961,1.0
ENSSSCG00000015871,0.93433424741,0.013065226764425961,1.0
ENSSSCG00000035999,0.5435810393804332,0.013065226764425961,1.0
ENSSSCG00000009285,0.2688602192566574,0.013065226764425961,1.0
ENSSSCG00000006564,-0.231685580565677,0.013065226764425961,1.0
ENSSSCG00000013427,0.5343338086868066,0.013065226764425961,1.0
ENSSSCG00000012878,0.6396389240524258,0.013065226764425961,1.0
ENSSSCG00000007939,1.0407863196800373,0.013065226764425961,1.0
ENSSSCG00000036022,1.021850920195371,0.013065226764425961,1.0
ENSSSCG00000003038,0.272613765866419,0.013065226764425961,1.0
ENSSSCG00000013758,0.3293999817523141,0.013065226764425961,1.0
ENSSSCG00000013523,0.5774074649915999,0.013065226764425961,1.0
ENSSSCG00000040037,0.6480996166071558,0.013065226764425961,1.0
ENSSSCG00000036044,0.3397177360988037,0.013065226764425961,1.0
ENSSSCG00000005586,0.4145206756534443,0.013065226764425961,1.0
ENSSSCG00000017065,-0.29825938045598566,0.013065226764425961,1.0
ENSSSCG00000035429,-0.6068581852742572,0.013065226764425961,1.0
ENSSSCG00000004963,-0.2690164154734527,0.013065226764425961,1.0
ENSSSCG00000017983,0.9655130962895049,0.013065226764425961,1.0
ENSSSCG00000004047,-0.23163412034156927,0.013065226764425961,1.0
ENSSSCG00000025034,-0.4168853593753612,0.013065226764425961,1.0
ENSSSCG00000006697,-0.17925914208663318,0.013065226764425961,1.0
ENSSSCG00000023091,-0.26110010839401987,0.013065226764425961,1.0
ENSSSCG00000008582,0.448015784158306,0.013065226764425961,1.0
ENSSSCG00000016892,1.0277711481101717,0.013065226764425961,1.0
ENSSSCG00000030182,0.17555279739194862,0.013065226764425961,1.0
ENSSSCG00000035939,0.9524385457652009,0.013065226764425961,1.0
ENSSSCG00000019451,0.3068725660662419,0.013065226764425961,1.0
ENSSSCG00000032046,0.3935185816352842,0.013065226764425961,1.0
ENSSSCG00000016212,0.5977973795263134,0.013065226764425961,1.0
ENSSSCG00000043314,0.3265873710159757,0.013065226764425961,1.0
ENSSSCG00000016650,-0.23918916286879854,0.013065226764425961,1.0
ENSSSCG00000010309,0.5568247436779421,0.013065226764425961,1.0
ENSSSCG00000032768,-0.4426408114140443,0.013065226764425961,1.0
ENSSSCG00000022226,-0.4227617932490245,0.013065226764425961,1.0
ENSSSCG00000043204,0.9648585214773622,0.013065226764425961,1.0
ENSSSCG00000004687,-0.6556860956586394,0.013065226764425961,1.0
ENSSSCG00000036894,-0.34581850953175997,0.013065226764425961,1.0
ENSSSCG00000009966,0.49148828902523356,0.013065226764425961,1.0
ENSSSCG00000017143,1.2381209087560194,0.013065226764425961,1.0
ENSSSCG00000001404,-0.3234543411382198,0.013065226764425961,1.0
ENSSSCG00000027272,-0.3659136160278056,0.013065226764425961,1.0
ENSSSCG00000010639,-0.2925268155893228,0.013065226764425961,1.0
ENSSSCG00000042225,0.622005426797009,0.013065226764425961,1.0
ENSSSCG00000035669,0.22979521504527417,0.013065226764425961,1.0
ENSSSCG00000042189,0.22542275630241498,0.013065226764425961,1.0
ENSSSCG00000043940,0.6021023807300157,0.013065226764425961,1.0
ENSSSCG00000033685,0.8583613886228464,0.013065226764425961,1.0
ENSSSCG00000010164,-0.38728653856756967,0.013065226764425961,1.0
ENSSSCG00000009910,-0.2515739159763939,0.013065226764425961,1.0
ENSSSCG00000033707,0.3601409394403715,0.013065226764425961,1.0
ENSSSCG00000031649,0.270205335372558,0.013065226764425961,1.0
ENSSSCG00000036359,0.4326625718700203,0.013065226764425961,1.0
ENSSSCG00000004738,0.4065306445584742,0.013065226764425961,1.0
ENSSSCG00000001695,0.5751303481083303,0.013065226764425961,1.0
ENSSSCG00000029843,0.8725237776398242,0.013065226764425961,1.0
ENSSSCG00000002014,0.39827644166701204,0.013065226764425961,1.0
ENSSSCG00000007704,0.6375049109894535,0.013065226764425961,1.0
ENSSSCG00000000985,0.5244912059936571,0.013065226764425961,1.0
ENSSSCG00000002309,0.2857546936378745,0.013065226764425961,1.0
ENSSSCG00000033954,0.37657280302949303,0.013065226764425961,1.0
ENSSSCG00000004762,0.8737427516071139,0.013065226764425961,1.0
ENSSSCG00000010017,0.9528138299423095,0.013065226764425961,1.0
ENSSSCG00000029425,-0.2839757337183233,0.013065226764425961,1.0
ENSSSCG00000017585,0.11841367136495955,0.01937338485003019,1.0
ENSSSCG00000037432,0.5437672986378648,0.020240570577077482,1.0
ENSSSCG00000031912,1.2237837412328734,0.020240570577077482,1.0
ENSSSCG00000047628,-0.1437914483657979,0.020240570577077482,1.0
ENSSSCG00000004010,0.3737077211249691,0.020240570577077482,1.0
ENSSSCG00000001504,0.13627557984895083,0.020240570577077482,1.0
ENSSSCG00000018027,0.6324452912423986,0.020240570577077482,1.0
ENSSSCG00000007485,0.6715046319543305,0.020240570577077482,1.0
ENSSSCG00000008228,-0.9473051682999523,0.020240570577077482,1.0
ENSSSCG00000026536,0.4709961307953705,0.020240570577077482,1.0
ENSSSCG00000047383,0.5372871121230743,0.020240570577077482,1.0
ENSSSCG00000006940,1.4642591364594346,0.020240570577077482,1.0
ENSSSCG00000002652,0.7664207441661461,0.020240570577077482,1.0
ENSSSCG00000040697,0.4626624675245439,0.020240570577077482,1.0
ENSSSCG00000025618,-0.48747792908278953,0.020240570577077482,1.0
ENSSSCG00000037245,0.3161935323918499,0.020240570577077482,1.0
ENSSSCG00000012843,1.004213748385952,0.020240570577077482,1.0
ENSSSCG00000015022,0.19718476628214332,0.020240570577077482,1.0
ENSSSCG00000009317,-0.14959102342624853,0.020240570577077482,1.0
ENSSSCG00000017126,0.7124020359407819,0.020240570577077482,1.0
ENSSSCG00000034339,0.35081156493750515,0.020240570577077482,1.0
ENSSSCG00000036742,1.0472124799208329,0.020240570577077482,1.0
ENSSSCG00000024973,-0.8356376458287533,0.020240570577077482,1.0
ENSSSCG00000026951,-0.739217095071079,0.020240570577077482,1.0
ENSSSCG00000030137,0.5882406882671917,0.020240570577077482,1.0
ENSSSCG00000033732,0.4943833917770073,0.020240570577077482,1.0
ENSSSCG00000030581,0.5042101826908212,0.020240570577077482,1.0
ENSSSCG00000021355,-0.4162784862624225,0.020240570577077482,1.0
ENSSSCG00000014433,1.1970597687627678,0.020240570577077482,1.0
ENSSSCG00000005965,1.289900731953617,0.020240570577077482,1.0
ENSSSCG00000031610,-0.6714813467783196,0.020240570577077482,1.0
ENSSSCG00000036592,0.41512978438797443,0.020240570577077482,1.0
ENSSSCG00000043726,0.13066978865556295,0.020240570577077482,1.0
ENSSSCG00000001401,0.286804006849293,0.020240570577077482,1.0
ENSSSCG00000028237,-0.35893001789492573,0.020240570577077482,1.0
ENSSSCG00000024325,0.6218255979573568,0.020240570577077482,1.0
ENSSSCG00000001963,-0.5274383001275629,0.020240570577077482,1.0
ENSSSCG00000038811,-0.9635034730544683,0.020240570577077482,1.0
ENSSSCG00000001620,0.47365959481338893,0.020240570577077482,1.0
ENSSSCG00000011587,-0.1280168474359178,0.020240570577077482,1.0
ENSSSCG00000024336,0.6434166295338626,0.020240570577077482,1.0
ENSSSCG00000010071,1.1918456551992236,0.020240570577077482,1.0
ENSSSCG00000035221,0.6541138971536435,0.020240570577077482,1.0
ENSSSCG00000003711,0.838032006718533,0.020240570577077482,1.0
ENSSSCG00000019612,0.5542702956988492,0.020240570577077482,1.0
ENSSSCG00000017494,-0.7002078258382558,0.020240570577077482,1.0
ENSSSCG00000014437,0.7808863976430254,0.020240570577077482,1.0
ENSSSCG00000027076,0.9121417047401597,0.020240570577077482,1.0
ENSSSCG00000034300,0.22605741233478605,0.020240570577077482,1.0
ENSSSCG00000008344,-0.24915855211109905,0.020240570577077482,1.0
ENSSSCG00000051095,0.5677785720622053,0.020240570577077482,1.0
ENSSSCG00000002404,-0.48920864056554514,0.020240570577077482,1.0
ENSSSCG00000004223,0.42202889779860275,0.020240570577077482,1.0
ENSSSCG00000001680,0.8642458456668596,0.020240570577077482,1.0
ENSSSCG00000010604,0.3355718394473475,0.020240570577077482,1.0
ENSSSCG00000015474,0.190023671719668,0.020240570577077482,1.0
ENSSSCG00000051787,0.91649204687914,0.020240570577077482,1.0
ENSSSCG00000009239,-0.6735137628642032,0.020240570577077482,1.0
ENSSSCG00000037652,0.39008237271605395,0.020240570577077482,1.0
ENSSSCG00000034868,0.5179354519110118,0.020240570577077482,1.0
ENSSSCG00000026427,0.6273935932413748,0.020240570577077482,1.0
ENSSSCG00000013884,0.43855502401062063,0.020240570577077482,1.0
ENSSSCG00000032674,-0.4422003313663838,0.020240570577077482,1.0
ENSSSCG00000008157,-0.46811229205354044,0.020240570577077482,1.0
ENSSSCG00000039963,0.3310389608240849,0.020240570577077482,1.0
ENSSSCG00000034774,0.7128740043856469,0.020240570577077482,1.0
ENSSSCG00000032644,0.6566766180061183,0.020240570577077482,1.0
ENSSSCG00000010835,-0.12322752349992872,0.020240570577077482,1.0
ENSSSCG00000032397,-0.30463730167650294,0.020240570577077482,1.0
ENSSSCG00000008055,0.7410319826591996,0.020240570577077482,1.0
ENSSSCG00000017962,0.842633214806856,0.020240570577077482,1.0
ENSSSCG00000029154,0.9805041244772155,0.020240570577077482,1.0
ENSSSCG00000038025,0.7500421149545571,0.020240570577077482,1.0
ENSSSCG00000032478,0.5505363896103175,0.020240570577077482,1.0
ENSSSCG00000015545,-0.8217158094703869,0.020240570577077482,1.0
ENSSSCG00000043968,0.306671908803982,0.020240570577077482,1.0
ENSSSCG00000048853,0.4004674373021726,0.020240570577077482,1.0
ENSSSCG00000046305,0.28752403818889755,0.020240570577077482,1.0
ENSSSCG00000008535,-0.3350195159009856,0.020240570577077482,1.0
ENSSSCG00000029228,1.0957827737703578,0.020240570577077482,1.0
ENSSSCG00000004612,-0.44426571000109494,0.020240570577077482,1.0
ENSSSCG00000012089,0.4808773210973327,0.020240570577077482,1.0
ENSSSCG00000013735,1.5736236843485645,0.020240570577077482,1.0
ENSSSCG00000028381,0.5888213315335299,0.020240570577077482,1.0
ENSSSCG00000015784,-0.6923508614608789,0.020240570577077482,1.0
ENSSSCG00000016184,-0.4236502763659735,0.020240570577077482,1.0
ENSSSCG00000028877,-0.33592808764624205,0.020240570577077482,1.0
ENSSSCG00000000766,0.31355251357103375,0.020240570577077482,1.0
ENSSSCG00000015406,-0.17306620745766263,0.020240570577077482,1.0
ENSSSCG00000040344,-0.41745974510940664,0.020240570577077482,1.0
ENSSSCG00000000837,-0.26562481643740443,0.020240570577077482,1.0
ENSSSCG00000010330,-0.5177295580017036,0.020240570577077482,1.0
ENSSSCG00000029185,0.46918119551774184,0.020240570577077482,1.0
ENSSSCG00000002337,0.2708110661263232,0.020240570577077482,1.0
ENSSSCG00000032986,1.2105075291351985,0.020240570577077482,1.0
ENSSSCG00000000261,0.6175780360135039,0.020240570577077482,1.0
ENSSSCG00000015140,-0.6317935647567126,0.020240570577077482,1.0
ENSSSCG00000028777,0.28483618718879344,0.020240570577077482,1.0
ENSSSCG00000014880,-0.47292599073499675,0.020240570577077482,1.0
ENSSSCG00000012693,0.34675625757168893,0.020240570577077482,1.0
ENSSSCG00000026212,0.17401628233988328,0.020240570577077482,1.0
ENSSSCG00000027443,-0.3387371670050898,0.020240570577077482,1.0
ENSSSCG00000007576,0.9276603054959156,0.020240570577077482,1.0
ENSSSCG00000023279,0.2884314651956932,0.020240570577077482,1.0
ENSSSCG00000000204,0.6339143989082054,0.020240570577077482,1.0
ENSSSCG00000031616,1.7325077429394045,0.020240570577077482,1.0
ENSSSCG00000004330,0.2482776013245544,0.020240570577077482,1.0
ENSSSCG00000000209,0.8214870503224518,0.020240570577077482,1.0
ENSSSCG00000046003,0.40798380986286453,0.020240570577077482,1.0
ENSSSCG00000031321,1.6664320383609883,0.020240570577077482,1.0
ENSSSCG00000005751,0.6953918126185084,0.020240570577077482,1.0
ENSSSCG00000038763,0.9136885231799106,0.020240570577077482,1.0
ENSSSCG00000040163,0.532380705161231,0.020240570577077482,1.0
ENSSSCG00000045477,0.7111517378366363,0.020240570577077482,1.0
ENSSSCG00000008586,0.15058044781183771,0.020240570577077482,1.0
ENSSSCG00000017100,0.3107413425597212,0.020240570577077482,1.0
ENSSSCG00000043021,0.2145628368882164,0.020240570577077482,1.0
ENSSSCG00000017087,-0.5138820080027795,0.020240570577077482,1.0
ENSSSCG00000003155,0.8539819355455536,0.020240570577077482,1.0
ENSSSCG00000006013,-0.11014736787027302,0.020240570577077482,1.0
ENSSSCG00000032968,-0.18891021162824284,0.020240570577077482,1.0
ENSSSCG00000017054,-0.5570954542559852,0.020240570577077482,1.0
ENSSSCG00000041577,1.0272310080636395,0.020240570577077482,1.0
ENSSSCG00000026817,0.31985483867031217,0.020240570577077482,1.0
ENSSSCG00000003972,0.15234925463620913,0.020240570577077482,1.0
ENSSSCG00000022797,-0.9140828791945079,0.020240570577077482,1.0
ENSSSCG00000039607,0.4829884542222205,0.020240570577077482,1.0
ENSSSCG00000033946,0.795441652857261,0.020240570577077482,1.0
